0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROSPETTO ANDAMENTO ANNUALE OFFERTE - PORTAFOGLIO ORDINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MESE (ANNO 2024),NR. RICHIESTE RICEVUTE 2024,NR. RICHIESTE DECLINATE 2024,NR. OFFERTE PROPOSTE 2024,NR. OFFERTE ACCETTATE 2024,VALORE MENSILE ORDINI  TOTALE 2024,% ACCETTATE 2024,% DECLINATE 2024,,ANNO 2023,NR. RICHIESTE RICEVUTE 2023,NR. RICHIESTE DECLINATE 2023,NR. OFFERTE PROPOSTE 2023,NR. OFFERTE ACCETTATE 2023,VALORE MENSILE ORDINI  TOTALE 2023,% ACCETTATE 2023,% DECLINATE 2023,,,,,,,,,,,,,,,
,ANALISI PER MESE (ANNO 2025),NR. OFFERTE NON ACCETTATE,SCOUTING,,PREZZO,,TEMPI DI CONSEGNA,,TEMPI OFFERTA,,TOTALE (NON IN  TUTTE LE  OFFERTE  NON ACCETTATE  C'E' IL MOTIVO),,,,,,,,,,,,,,,,,,,,,
,2025-01-01 00:00:00,42,1,0.02380952381,31,0.7380952381,6,0.1428571429,1,0.02380952381,0.9285714286,,,,,,,,,,,,,,,,,,,,,
,2025-02-01 00:00:00,40,4,0.1,33,0.825,1,0.025,0,0,0.95,,,,,,,,,,,,,,,,,,,,,
,2025-03-01 00:00:00,41,2,0.0487804878,14,0.3414634146,2,0.0487804878,1,0.0243902439,0.4634146341,,,,,,,,,,,,,,,,,,,,,
,2025-04-01 00:00:00,38,5,0.1315789474,26,0.6842105263,3,0.07894736842,1,0.02631578947,0.9210526316,,,,,,,,,,,,,,,,,,,,,
,2025-05-01 00:00:00,25,0,0,3,0.12,1,0.04,0,0,0.16,,,,,,,,,,,,,,,,,,,,,
,2025-06-01 00:00:00,35,1,0.02857142857,4,0.1142857143,1,0.02857142857,8,0.2285714286,0.4,,,,,,,,,,,,,,,,,,,,,
,2025-07-01 00:00:00,38,8,0.2105263158,13,0.3421052632,8,0.2105263158,7,0.1842105263,0.9473684211,,,,,,,,,,,,,,,,,,,,,
,2025-08-01 00:00:00,38,3,0.07894736842,20,0.5263157895,8,0.2105263158,0,0,0.8157894737,,,,,,,,,,,,,,,,,,,,,
,2025-09-01 00:00:00,75,11,0.1466666667,50,0.6666666667,8,0.1066666667,3,0.04,0.96,,,,,,,,,,,,,,,,,,,,,
,2025-10-01 00:00:00,16,1,0.0625,5,0.3125,7,0.4375,0,0,0.8125,,,,,,,,,,,,,,,,,,,,,
